23259
21-143	Abramów
10-534	Olsztyn
10-535	Olsztyn
10-536	Olsztyn
10-537	Olsztyn
10-538	Olsztyn
10-540	Olsztyn
10-541	Olsztyn
10-542	Olsztyn
10-543	Olsztyn
10-544	Olsztyn
10-545	Olsztyn
10-546	Olsztyn
10-547	Olsztyn
10-548	Olsztyn
10-549	Olsztyn
10-550	Olsztyn
10-551	Olsztyn
10-552	Olsztyn
10-553	Olsztyn
10-554	Olsztyn
10-555	Olsztyn
10-556	Olsztyn
10-557	Olsztyn
10-558	Olsztyn
10-559	Olsztyn
10-560	Olsztyn
10-561	Olsztyn
10-562	Olsztyn
10-563	Olsztyn
10-564	Olsztyn
10-565	Olsztyn
10-566	Olsztyn
10-570	Olsztyn
10-572	Olsztyn
10-573	Olsztyn
10-574	Olsztyn
10-575	Olsztyn
10-576	Olsztyn
10-577	Olsztyn
10-578	Olsztyn
10-579	Olsztyn
10-581	Olsztyn
10-583	Olsztyn
10-584	Olsztyn
10-585	Olsztyn
10-586	Olsztyn
10-587	Olsztyn
10-588	Olsztyn
10-589	Olsztyn
10-601	Olsztyn
10-602	Olsztyn
10-603	Olsztyn
10-604	Olsztyn
10-605	Olsztyn
10-606	Olsztyn
10-607	Olsztyn
10-608	Olsztyn
10-609	Olsztyn
10-610	Olsztyn
10-611	Olsztyn
10-612	Olsztyn
10-613	Olsztyn
10-614	Olsztyn
10-615	Olsztyn
10-616	Olsztyn
10-617	Olsztyn
10-619	Olsztyn
10-620	Olsztyn
10-621	Olsztyn
10-622	Olsztyn
10-623	Olsztyn
10-624	Olsztyn
10-625	Olsztyn
10-626	Olsztyn
10-627	Olsztyn
10-628	Olsztyn
10-629	Olsztyn
10-630	Olsztyn
10-631	Olsztyn
10-632	Olsztyn
10-633	Olsztyn
10-634	Olsztyn
10-635	Olsztyn
10-636	Olsztyn
10-637	Olsztyn
10-638	Olsztyn
10-639	Olsztyn
10-640	Olsztyn
10-642	Olsztyn
10-643	Olsztyn
10-644	Olsztyn
10-645	Olsztyn
10-646	Olsztyn
10-647	Olsztyn
10-648	Olsztyn
10-649	Olsztyn
10-650	Olsztyn
10-651	Olsztyn
10-652	Olsztyn
10-653	Olsztyn
10-654	Olsztyn
10-655	Olsztyn
10-656	Olsztyn
10-657	Olsztyn
10-658	Olsztyn
10-659	Olsztyn
10-660	Olsztyn
10-661	Olsztyn
10-662	Olsztyn
10-663	Olsztyn
10-664	Olsztyn
10-665	Olsztyn
10-666	Olsztyn
10-667	Olsztyn
10-668	Olsztyn
10-669	Olsztyn
10-670	Olsztyn
10-672	Olsztyn
10-673	Olsztyn
10-674	Olsztyn
10-675	Olsztyn
10-676	Olsztyn
10-677	Olsztyn
10-678	Olsztyn
10-679	Olsztyn
10-680	Olsztyn
10-681	Olsztyn
10-682	Olsztyn
10-683	Olsztyn
10-684	Olsztyn
10-685	Olsztyn
10-686	Olsztyn
10-688	Olsztyn
10-689	Olsztyn
10-690	Olsztyn
10-693	Olsztyn
10-695	Olsztyn
10-698	Olsztyn
10-699	Olsztyn
10-702	Olsztyn
10-705	Olsztyn
10-706	Olsztyn
10-707	Olsztyn
10-708	Olsztyn
10-709	Olsztyn
10-710	Olsztyn
10-711	Olsztyn
10-712	Olsztyn
10-713	Olsztyn
10-718	Olsztyn
10-720	Olsztyn
10-721	Olsztyn
10-722	Olsztyn
10-723	Olsztyn
10-724	Olsztyn
10-725	Olsztyn
10-726	Olsztyn
10-727	Olsztyn
10-728	Olsztyn
10-747	Olsztyn
10-748	Olsztyn
10-749	Olsztyn
10-750	Olsztyn
10-751	Olsztyn
10-752	Olsztyn
10-753	Olsztyn
10-754	Olsztyn
10-755	Olsztyn
10-756	Olsztyn
10-757	Olsztyn
10-758	Olsztyn
10-759	Olsztyn
10-760	Olsztyn
10-761	Olsztyn
10-762	Olsztyn
10-763	Olsztyn
10-764	Olsztyn
10-765	Olsztyn
10-801	Olsztyn
10-802	Olsztyn
10-803	Olsztyn
10-804	Olsztyn
10-805	Olsztyn
10-806	Olsztyn
10-807	Olsztyn
10-808	Olsztyn
10-809	Olsztyn
10-810	Olsztyn
10-811	Olsztyn
10-812	Olsztyn
10-813	Olsztyn
10-814	Olsztyn
10-815	Olsztyn
10-816	Olsztyn
10-817	Olsztyn
10-818	Olsztyn
10-819	Olsztyn
10-822	Olsztyn
10-823	Olsztyn
10-824	Olsztyn
10-825	Olsztyn
10-828	Olsztyn
10-829	Olsztyn
10-830	Olsztyn
10-831	Olsztyn
10-832	Olsztyn
10-833	Olsztyn
10-834	Olsztyn
10-835	Olsztyn
10-836	Olsztyn
10-837	Olsztyn
10-838	Olsztyn
10-839	Olsztyn
10-840	Olsztyn
10-841	Olsztyn
10-842	Olsztyn
10-843	Olsztyn
10-844	Olsztyn
10-845	Olsztyn
10-846	Olsztyn
10-847	Olsztyn
10-848	Olsztyn
10-849	Olsztyn
10-850	Olsztyn
10-851	Olsztyn
10-852	Olsztyn
10-853	Olsztyn
10-854	Olsztyn
10-855	Olsztyn
10-856	Olsztyn
10-857	Olsztyn
10-859	Olsztyn
10-860	Olsztyn
10-861	Olsztyn
10-862	Olsztyn
10-900	Olsztyn
10-903	Olsztyn
10-940	Olsztyn
10-941	Olsztyn
10-950	Olsztyn
10-952	Olsztyn
10-953	Olsztyn
10-954	Olsztyn
10-955	Olsztyn
10-956	Olsztyn
10-958	Olsztyn
10-959	Olsztyn
42-256	Olsztyn k. Czêstochowy
11-015	Olsztynek
59-830	Olszyna
32-831	Olszyny k. Brzeska
33-164	Olszyny k. Jas³a
12-132	Olszyny k. Szczytna
62-641	Olszówka k. Ko³a
44-353	Olza
14-260	Omule
64-330	Opalenica
83-136	Opalenie
28-520	Opatowiec
42-152	Opatów Czêstochowski
27-500	Opatów Kielecki
62-860	Opatówek
06-406	Opinogóra
26-300	Opoczno
26-301	Opoczno
45-059	Opole
45-111	Opole
45-094	Opole
45-271	Opole
45-309	Opole
45-411	Opole
45-355	Opole
45-627	Opole
45-128	Opole
45-001	Opole
45-002	Opole
45-003	Opole
45-004	Opole
45-005	Opole
45-006	Opole
45-007	Opole
45-009	Opole
45-010	Opole
45-011	Opole
45-012	Opole
45-013	Opole
45-015	Opole
45-016	Opole
45-017	Opole
45-018	Opole
45-019	Opole
45-020	Opole
45-021	Opole
45-022	Opole
45-023	Opole
45-024	Opole
45-025	Opole
45-026	Opole
45-027	Opole
45-030	Opole
45-031	Opole
45-032	Opole
45-033	Opole
45-034	Opole
45-035	Opole
45-036	Opole
45-037	Opole
45-038	Opole
45-039	Opole
45-040	Opole
45-044	Opole
45-045	Opole
45-046	Opole
45-047	Opole
45-048	Opole
45-049	Opole
45-050	Opole
45-051	Opole
45-052	Opole
45-053	Opole
45-054	Opole
45-055	Opole
45-056	Opole
45-057	Opole
45-058	Opole
45-061	Opole
45-062	Opole
45-064	Opole
45-065	Opole
45-066	Opole
45-067	Opole
45-068	Opole
45-069	Opole
45-070	Opole
45-071	Opole
45-072	Opole
45-073	Opole
45-075	Opole
45-076	Opole
45-077	Opole
45-078	Opole
45-079	Opole
45-080	Opole
45-081	Opole
45-083	Opole
45-084	Opole
45-085	Opole
45-086	Opole
45-087	Opole
45-088	Opole
45-089	Opole
45-090	Opole
45-091	Opole
45-092	Opole
45-109	Opole
45-110	Opole
45-112	Opole
45-113	Opole
45-114	Opole
45-115	Opole
45-116	Opole
45-117	Opole
45-118	Opole
45-119	Opole
45-121	Opole
45-123	Opole
45-125	Opole
45-126	Opole
45-127	Opole
45-129	Opole
45-131	Opole
45-132	Opole
45-133	Opole
45-134	Opole
45-135	Opole
45-136	Opole
45-137	Opole
45-138	Opole
45-139	Opole
45-141	Opole
45-142	Opole
45-143	Opole
45-144	Opole
45-145	Opole
45-215	Opole
45-217	Opole
45-218	Opole
45-219	Opole
45-220	Opole
45-221	Opole
45-222	Opole
45-223	Opole
45-224	Opole
45-225	Opole
45-226	Opole
45-227	Opole
45-228	Opole
45-229	Opole
45-230	Opole
45-231	Opole
45-232	Opole
45-233	Opole
45-234	Opole
45-235	Opole
45-236	Opole
45-237	Opole
45-238	Opole
45-239	Opole
45-240	Opole
45-241	Opole
45-265	Opole
45-266	Opole
45-267	Opole
45-268	Opole
45-269	Opole
45-272	Opole
45-273	Opole
45-282	Opole
45-283	Opole
45-284	Opole
45-285	Opole
45-286	Opole
45-287	Opole
45-288	Opole
45-290	Opole
45-291	Opole
45-301	Opole
45-302	Opole
45-303	Opole
45-304	Opole
45-305	Opole
45-306	Opole
45-307	Opole
45-308	Opole
45-310	Opole
45-311	Opole
45-312	Opole
45-313	Opole
45-314	Opole
45-315	Opole
45-316	Opole
45-317	Opole
45-318	Opole
45-319	Opole
45-320	Opole
45-321	Opole
45-323	Opole
45-324	Opole
45-325	Opole
45-326	Opole
45-331	Opole
45-332	Opole
45-339	Opole
45-340	Opole
45-342	Opole
45-344	Opole
45-346	Opole
45-347	Opole
45-348	Opole
45-349	Opole
45-351	Opole
45-352	Opole
45-353	Opole
45-354	Opole
45-356	Opole
45-357	Opole
45-358	Opole
45-359	Opole
45-360	Opole
45-361	Opole
45-362	Opole
45-363	Opole
45-364	Opole
45-365	Opole
45-367	Opole
45-368	Opole
45-370	Opole
45-371	Opole
45-372	Opole
45-373	Opole
45-401	Opole
45-402	Opole
45-403	Opole
45-405	Opole
45-406	Opole
45-407	Opole
45-408	Opole
45-409	Opole
45-410	Opole
45-413	Opole
45-414	Opole
45-415	Opole
45-416	Opole
45-417	Opole
45-418	Opole
45-419	Opole
45-420	Opole
45-424	Opole
45-425	Opole
45-427	Opole
45-428	Opole
45-429	Opole
45-430	Opole
45-431	Opole
45-432	Opole
45-433	Opole
45-434	Opole
45-435	Opole
45-436	Opole
45-437	Opole
45-438	Opole
45-439	Opole
45-440	Opole
45-441	Opole
45-442	Opole
45-443	Opole
45-446	Opole
45-449	Opole
45-459	Opole
45-460	Opole
45-461	Opole
45-462	Opole
45-463	Opole
45-464	Opole
45-465	Opole
45-466	Opole
45-467	Opole
45-468	Opole
45-469	Opole
45-470	Opole
45-471	Opole
45-472	Opole
45-473	Opole
45-474	Opole
45-475	Opole
45-476	Opole
45-477	Opole
45-478	Opole
45-512	Opole
45-513	Opole
45-515	Opole
45-516	Opole
45-517	Opole
45-518	Opole
45-519	Opole
45-520	Opole
45-521	Opole
45-522	Opole
45-523	Opole
45-524	Opole
45-525	Opole
45-526	Opole
45-527	Opole
45-528	Opole
45-529	Opole
45-530	Opole
45-531	Opole
45-532	Opole
45-533	Opole
45-534	Opole
45-535	Opole
45-536	Opole
45-542	Opole
45-543	Opole
45-550	Opole
45-551	Opole
45-552	Opole
45-553	Opole
45-554	Opole
45-555	Opole
45-556	Opole
45-557	Opole
45-558	Opole
45-559	Opole
45-560	Opole
45-561	Opole
45-562	Opole
45-563	Opole
45-564	Opole
45-565	Opole
45-568	Opole
45-569	Opole
45-570	Opole
45-571	Opole
45-572	Opole
45-573	Opole
45-574	Opole
45-575	Opole
45-577	Opole
45-578	Opole
45-580	Opole
45-586	Opole
45-587	Opole
45-588	Opole
45-590	Opole
45-591	Opole
45-592	Opole
45-593	Opole
45-594	Opole
45-601	Opole
45-612	Opole
45-618	Opole
45-622	Opole
45-623	Opole
45-624	Opole
45-625	Opole
45-626	Opole
45-628	Opole
45-631	Opole
45-632	Opole
45-633	Opole
45-634	Opole
45-635	Opole
45-636	Opole
45-638	Opole
45-639	Opole
45-640	Opole
45-641	Opole
45-642	Opole
45-644	Opole
45-645	Opole
45-646	Opole
45-647	Opole
45-648	Opole
45-649	Opole
45-650	Opole
45-651	Opole
45-652	Opole
45-653	Opole
45-654	Opole
45-655	Opole
45-656	Opole
45-660	Opole
45-661	Opole
45-662	Opole
45-663	Opole
45-665	Opole
45-667	Opole
45-668	Opole
45-669	Opole
45-670	Opole
45-671	Opole
45-675	Opole
45-676	Opole
45-677	Opole
45-678	Opole
45-679	Opole
45-680	Opole
45-681	Opole
45-682	Opole
45-683	Opole
45-684	Opole
45-685	Opole
45-686	Opole
45-687	Opole
45-688	Opole
45-701	Opole
45-702	Opole
45-703	Opole
45-704	Opole
45-705	Opole
45-706	Opole
45-707	Opole
45-708	Opole
45-709	Opole
45-710	Opole
45-711	Opole
45-712	Opole
45-713	Opole
45-714	Opole
45-715	Opole
45-716	Opole
45-720	Opole
45-721	Opole
45-722	Opole
45-723	Opole
45-724	Opole
45-725	Opole
45-726	Opole
45-751	Opole
45-752	Opole
45-753	Opole
45-754	Opole
45-755	Opole
45-756	Opole
45-757	Opole
45-758	Opole
45-759	Opole
45-760	Opole
45-761	Opole
45-762	Opole
45-763	Opole
45-765	Opole
45-766	Opole
45-767	Opole
45-771	Opole
45-772	Opole
45-773	Opole
45-774	Opole
45-776	Opole
45-801	Opole
45-802	Opole
45-803	Opole
45-804	Opole
45-805	Opole
45-809	Opole
45-811	Opole
45-814	Opole
45-815	Opole
45-819	Opole
45-820	Opole
45-823	Opole
45-824	Opole
45-825	Opole
45-826	Opole
45-827	Opole
45-828	Opole
45-829	Opole
45-830	Opole
45-831	Opole
45-832	Opole
45-833	Opole
45-834	Opole
45-835	Opole
45-837	Opole
45-838	Opole
45-839	Opole
45-840	Opole
45-841	Opole
45-842	Opole
45-843	Opole
45-850	Opole
45-852	Opole
45-853	Opole
45-854	Opole
45-855	Opole
45-856	Opole
45-857	Opole
45-858	Opole
45-859	Opole
45-860	Opole
45-861	Opole
45-862	Opole
45-863	Opole
45-864	Opole
45-865	Opole
45-867	Opole
45-910	Opole
45-950	Opole
45-836	Opole
45-920	Opole
45-940	Opole
45-960	Opole
24-300	Opole Lubelskie
99-322	Oporów
62-436	Orchowo
17-106	Orla na Podlasiu
11-130	Orneta
44-176	Ornontowice
26-681	Oroñsko
26-505	Oroñsko
37-712	Orzechowce
62-322	Orzechowo
43-186	Orzesze
43-180	Orzesze
43-187	Orzesze
12-250	Orzysz
13-100	Or³owo
37-716	Or³y
22-376	Or³ów Murowany
83-022	Osice
86-150	Osie
08-445	Osieck
87-206	Osieczek
83-242	Osieczna k. Czerska
64-113	Osieczna k. Leszna
59-724	Osiecznica k. Boles³awca Œl¹skiego
38-223	Osiek Jasielski
62-613	Osiek Ma³y
87-340	Osiek Rypiñski
32-608	Osiek k. Oœwiêcimia
83-221	Osiek k. Skórcza
28-221	Osiek k. Staszowa
98-404	Osiek k. Wielunia
89-333	Osiek n. Noteci¹
87-125	Osiek n. Wis³¹
14-120	Osiekowo
34-234	Osielec
86-031	Osielsko
72-221	Osina K. Nowogardu
88-220	Osiêciny
98-320	Osjaków
38-241	Osobnica
14-260	Osowiec
82-112	Ostaszewo Gdañskie
86-072	Ostromecko
64-560	Ostroróg
58-262	Ostroszowice
78-506	Ostrowice k. Drawska Pomorskiego
76-129	Ostrowiec S³awieñski
27-400	Ostrowiec Œwiêtokrzyski
27-401	Ostrowiec Œwiêtokrzyski
27-402	Ostrowiec Œwiêtokrzyski
27-404	Ostrowiec Œwiêtokrzyski
27-405	Ostrowiec Œwiêtokrzyski
27-406	Ostrowiec Œwiêtokrzyski
87-522	Ostrowite
83-022	Ostrowite
83-032	Ostrowite
83-230	Ostrowite
14-120	Ostrowite
62-402	Ostrowite K. S³upcy
62-402	Ostrowite K.S³upcy
89-662	Ostrowite k. Chojnic
62-300	Ostrowo Szlacheckie
42-122	Ostrowy n. Oksz¹
07-400	Ostro³êka
07-412	Ostro³êka
07-401	Ostro³êka
07-409	Ostro³êka
07-410	Ostro³êka
07-413	Ostro³êka
07-417	Ostro³êka
63-500	Ostrzeszów
14-100	Ostróda
14-101	Ostróda
14-102	Ostróda
14-103	Ostróda
14-104	Ostróda
42-713	Ostrów
21-110	Ostrów Lubelski
07-300	Ostrów Mazowiecka
07-310	Ostrów Mazowiecka
63-400	Ostrów Wielkopolski
63-401	Ostrów Wielkopolski
63-402	Ostrów Wielkopolski
63-403	Ostrów Wielkopolski
63-404	Ostrów Wielkopolski
63-409	Ostrów Wielkopolski
63-410	Ostrów Wielkopolski
39-103	Ostrów k. Dêbicy
21-102	Ostrówek K. Lubartowa
98-311	Ostrówek k. Wielunia
98-406	Ostrówek k. Wieruszowa
05-206	Ostrówek k. Wo³omina
07-132	Ostrówek k. Wêgrowa
96-323	Osuchów
87-632	Osówka
33-250	Otfinów
48-385	Otmuchów
62-302	Otoczna
87-510	Otocznia
64-551	Otorowo
05-805	Otrêbusy
05-400	Otwock
67-106	Otyñ
67-100	Otyñ
62-005	Owiñska
46-040	Ozimek
95-035	Ozorków
95-036	Ozorków
55-200	O³awa
55-201	O³awa
55-202	O³awa
55-203	O³awa
57-360	O³drzychowice K³odzkie
63-406	O³obok k. Ostrowa Wielkopolskiego
38-247	O³piny
06-452	Oœcis³owo
72-306	Oœciêcin k. Gryfic
69-220	Oœno Lubuskie
32-600	Oœwiêcim
32-601	Oœwiêcim
32-602	Oœwiêcim
32-603	Oœwiêcim
32-606	Oœwiêcim
32-610	Oœwiêcim
42-625	O¿arowice
42-624	O¿arowice
27-530	O¿arów K. Opatowa Kieleckiego
05-850	O¿arów Mazowiecki
95-200	Pabianice
28-133	Pacanów
42-270	Pacierzów
09-541	Pacyna
62-025	Paczkowo
62-021	Paczkowo
48-370	Paczków
44-174	Paczyna
39-340	Padew Narodowa
98-330	Pajêczno
64-310	Pakos³aw
63-920	Pakos³aw k. Rawicza
48-314	Pakos³awice
88-170	Pakoœæ
32-842	Paleœnica
44-246	Palowice
62-069	Palêdzie
64-514	Pami¹tkowo
62-812	Pamiêcin
62-131	Panigródz
44-177	Paniówki
42-140	Panki
37-224	Pantalowice
14-229	Papiernia
86-221	Papowo Biskupie
08-107	Paprotnia
	Parady¿
77-124	Parchowo
59-147	Parchów
21-200	Parczew
64-608	Parkowo
05-831	Parole
13-100	Parowa
84-110	Parszczyce
78-412	Parsêcko
08-441	Parysów
05-808	Parzniew
42-164	Parzymiechy
95-045	Parzêczew
07-442	Pasieki
58-115	Pastuchów
12-130	Pasym
34-113	Paszkówka
59-411	Paszowice
14-400	Pas³êk
26-720	Patków
42-713	Pawe³ki
13-100	Pawliki
42-772	Pawonków
64-122	Paw³owice k. Leszna
43-250	Paw³owice k. ¯orów
43-251	Paw³owice k. ¯orów
27-330	Paw³owice n. Wis³¹
47-280	Paw³owiczki
62-104	Paw³owo ¯oñskie
27-225	Paw³ów k. Wierzbnika
64-310	Paw³ówek
32-109	Pa³ecznica
32-432	Pcim
62-053	Pecna
83-130	Pelplin
17-322	Perlejewo
63-642	Perzów
26-303	Petrykozy
13-200	Petrykozy
22-107	Petry³ów
73-260	Pe³czyce
05-501	Piaseczno K.Warszawy
05-500	Piaseczno K.Warszawy
05-509	Piaseczno K.Warszawy
83-123	Piaseczno k. Gniewa
05-502	Piaseczno k. Warszawy
43-211	Piasek k. Pszczyny
63-820	Piaski
63-820	Piaski k. Gostynia Poznañskiego
21-050	Piaski k. Lublina
05-819	Piastów
05-820	Piastów
77-207	Piaszczyna
83-261	Piece
88-192	Piechcin
58-573	Piechowice
11-710	Piecki
83-221	Pieczyska
41-945	Piekary Œl¹skie
41-940	Piekary Œl¹skie
41-943	Piekary Œl¹skie
41-944	Piekary Œl¹skie
41-946	Piekary Œl¹skie
41-947	Piekary Œl¹skie
41-948	Piekary Œl¹skie
41-949	Piekary Œl¹skie
34-472	Piekielnik
26-065	Piekoszów
83-047	Piek³o Dolne
83-047	Piek³o Górne
59-524	Pielgrzymka
83-135	Pieni¹¿kowo
14-520	Pieniê¿no
26-015	Pierzchnica
13-200	Pier³awki
59-323	Pieszków
58-250	Pieszyce
58-251	Pieszyce (Kamionki)
58-252	Pieszyce (Roœciszów)
47-480	Pietrowice Wielkie
34-326	Pietrzykowice
59-930	Pieñsk
37-733	Pikulice
08-440	Pilawa
44-145	Pilchowice k. Gliwic
42-436	Pilica
39-220	Pilzno
83-251	Pinczyn
87-515	Pinino
26-670	Pionki
26-675	Pionki
88-230	Piotrków Kujawski
97-300	Piotrków Trybunalski
23-113	Piotrków k. Lublina
13-100	Piotrowice
64-305	Piotry
62-812	Piotrów
49-314	Pisarzowice
43-332	Pisarzowice k. Kêt
07-406	Piski
87-522	Piskorczyn
12-200	Pisz
12-201	Pisz
21-530	Piszczac
18-204	Piszczaty
33-350	Piwniczna
99-120	Pi¹tek
13-100	Pi¹tki
36-035	Pi¹tkowa k. Rzeszowa
26-720	Pi¹tków
18-421	Pi¹tnica Poduchowna
67-112	Piêkne K¹ty
64-920	Pi³a
64-900	Pi³a
64-933	Pi³a
64-934	Pi³a
64-935	Pi³a
64-970	Pi³a
64-931	Pi³a
58-241	Pi³awa Dolna
58-240	Pi³awa Górna
64-732	Pi³ka
42-340	Piñczyce
28-400	Piñczów
08-210	Platerów
59-816	Platerówka
99-312	Plecka D¹browa
63-300	Pleszew
62-064	Plewiska
33-171	Pleœna
14-120	Pl¹chawy
07-113	Pniewnik
07-214	Pniewo
64-919	Pniewo k. Szczecinka
62-045	Pniewy
05-652	Pniewy k. Grójca
62-010	Pobiedziska
72-346	Pobierowo
47-214	Poborszów
89-340	Pobórka Wielka
76-222	Pob³ocie
42-262	Poczesna
67-120	Podbrzezie
99-200	Poddêbice
21-222	Podedwórze
33-386	Podegrodzie
09-458	Podgórze
58-562	Podgórzyn
05-807	Podkowa Leœna
88-404	Podobowice
05-090	Podolszyn Nowy
22-107	Podpakule
64-541	Podrzewie
34-722	Podwilk na Orawie
32-003	Pod³ê¿e k. Krakowa
63-860	Pogorzela
72-351	Pogorzelica k. Gryfic
43-418	Pogwizdów
83-236	Pogódki
33-152	Pogórska Wola
62-812	Poklêków
87-312	Pokrzydowo
06-121	Pokrzywnica
46-034	Pokój
38-709	Polana
57-320	Polanica Zdrój
32-607	Polanka Wielka
76-010	Polanów
38-610	Polañczyk
83-115	Polesie
72-009	Police
72-010	Police
72-015	Police
26-907	Policzna
26-720	Policzna
17-241	Policzna k. Bielska Podl.
59-320	Polkowice
59-100	Polkowice
59-101	Polkowice
78-444	Polne
77-323	Polnica
47-260	Polska Cerekiew
05-180	Pomiechówek
83-305	Pomieczyno
14-229	Pomierki
83-047	Pomlewo
24-320	Poniatowa
64-125	Poniec
44-172	Poniszowice
46-090	Popielów
62-285	Popowo Koœcielne
07-204	Popowo n. Bugiem
42-110	Popów
95-012	Popów k. G³owna
64-606	Popówko
22-523	Poraj
26-200	Poraj
38-230	Poraj
42-360	Poraj
84-352	Poraj
97-371	Poraj
42-297	Poraj k. Czêstochowy
59-921	Porajów
34-520	Poronin
18-521	Poryte W³oœciañskie
84-110	Por¹b
43-353	Por¹bka
32-862	Por¹bka Iwkowska
32-854	Por¹bka Uszewska
42-480	Porêba k. Zawiercia
07-308	Porêba n. Bugiem
64-310	Posadowo
64-310	Posadówek
76-113	Postomino
83-042	Posto³owo
23-423	Potok Górny
23-313	Potok Wielki
89-120	Potulice
26-414	Potworów
76-230	Potêgowo
62-430	Powidz
11-610	Pozezdrze
60-166	Poznañ
60-864	Poznañ
60-734	Poznañ
60-480	Poznañ
60-432	Poznañ
60-327	Poznañ
60-318	Poznañ
61-063	Poznañ
60-956	Poznañ
60-103	Poznañ
61-432	Poznañ
60-001	Poznañ
60-002	Poznañ
60-003	Poznañ
60-004	Poznañ
60-005	Poznañ
60-008	Poznañ
60-009	Poznañ
60-010	Poznañ
60-012	Poznañ
60-013	Poznañ
60-101	Poznañ
60-102	Poznañ
60-104	Poznañ
60-105	Poznañ
60-106	Poznañ
60-107	Poznañ
60-108	Poznañ
60-111	Poznañ
60-112	Poznañ
60-113	Poznañ
60-114	Poznañ
60-115	Poznañ
60-116	Poznañ
60-118	Poznañ
60-119	Poznañ
60-120	Poznañ
60-121	Poznañ
60-122	Poznañ
60-123	Poznañ
60-124	Poznañ
60-125	Poznañ
60-126	Poznañ
60-128	Poznañ
60-129	Poznañ
60-130	Poznañ
60-131	Poznañ
60-132	Poznañ
60-133	Poznañ
60-134	Poznañ
60-135	Poznañ
60-136	Poznañ
60-137	Poznañ
60-138	Poznañ
60-139	Poznañ
60-141	Poznañ
60-142	Poznañ
60-143	Poznañ
60-144	Poznañ
60-147	Poznañ
60-148	Poznañ
60-149	Poznañ
60-151	Poznañ
60-152	Poznañ
60-153	Poznañ
60-157	Poznañ
60-158	Poznañ
60-159	Poznañ
60-160	Poznañ
60-161	Poznañ
60-162	Poznañ
60-163	Poznañ
60-164	Poznañ
60-167	Poznañ
60-168	Poznañ
60-169	Poznañ
60-170	Poznañ
60-171	Poznañ
60-173	Poznañ
60-174	Poznañ
60-175	Poznañ
60-176	Poznañ
60-177	Poznañ
60-178	Poznañ
60-179	Poznañ
60-182	Poznañ
60-183	Poznañ
60-184	Poznañ
60-185	Poznañ
60-186	Poznañ
60-187	Poznañ
60-188	Poznañ
60-189	Poznañ
60-190	Poznañ
60-192	Poznañ
60-193	Poznañ
60-194	Poznañ
60-195	Poznañ
60-196	Poznañ
60-197	Poznañ
60-198	Poznañ
60-201	Poznañ
60-202	Poznañ
60-203	Poznañ
60-204	Poznañ
60-205	Poznañ
60-206	Poznañ
60-208	Poznañ
60-209	Poznañ
60-211	Poznañ
60-212	Poznañ
60-213	Poznañ
60-214	Poznañ
60-215	Poznañ
60-216	Poznañ
60-218	Poznañ
60-219	Poznañ
60-220	Poznañ
60-221	Poznañ
60-222	Poznañ
60-223	Poznañ
60-224	Poznañ
60-225	Poznañ
60-226	Poznañ
60-227	Poznañ
60-229	Poznañ
60-230	Poznañ
60-231	Poznañ
60-232	Poznañ
60-233	Poznañ
60-234	Poznañ
60-235	Poznañ
60-236	Poznañ
60-237	Poznañ
60-238	Poznañ
60-239	Poznañ
60-241	Poznañ
60-242	Poznañ
60-243	Poznañ
60-244	Poznañ
60-245	Poznañ
60-246	Poznañ
60-247	Poznañ
60-248	Poznañ
60-251	Poznañ
60-252	Poznañ
60-253	Poznañ
60-254	Poznañ
60-255	Poznañ
60-256	Poznañ
60-257	Poznañ
60-258	Poznañ
60-259	Poznañ
60-260	Poznañ
60-261	Poznañ
60-262	Poznañ
60-263	Poznañ
60-264	Poznañ
60-265	Poznañ
60-266	Poznañ
60-267	Poznañ
60-268	Poznañ
60-269	Poznañ
60-271	Poznañ
60-272	Poznañ
60-273	Poznañ
60-274	Poznañ
60-275	Poznañ
60-276	Poznañ
60-277	Poznañ
60-278	Poznañ
60-279	Poznañ
60-281	Poznañ
60-282	Poznañ
60-283	Poznañ
60-284	Poznañ
60-286	Poznañ
60-287	Poznañ
60-288	Poznañ
60-289	Poznañ
60-301	Poznañ
60-302	Poznañ
60-303	Poznañ
60-304	Poznañ
60-306	Poznañ
60-307	Poznañ
60-308	Poznañ
60-309	Poznañ
60-310	Poznañ
60-311	Poznañ
60-312	Poznañ
60-313	Poznañ
60-315	Poznañ
60-316	Poznañ
60-317	Poznañ
60-319	Poznañ
60-320	Poznañ
60-321	Poznañ
60-322	Poznañ
60-323	Poznañ
60-324	Poznañ
60-325	Poznañ
60-326	Poznañ
60-328	Poznañ
60-329	Poznañ
60-330	Poznañ
60-331	Poznañ
60-332	Poznañ
60-334	Poznañ
60-335	Poznañ
60-336	Poznañ
60-337	Poznañ
60-338	Poznañ
60-339	Poznañ
60-341	Poznañ
60-343	Poznañ
60-344	Poznañ
60-345	Poznañ
60-346	Poznañ
60-347	Poznañ
60-348	Poznañ
60-349	Poznañ
60-350	Poznañ
60-351	Poznañ
60-352	Poznañ
60-354	Poznañ
60-355	Poznañ
60-356	Poznañ
60-357	Poznañ
60-358	Poznañ
60-359	Poznañ
60-361	Poznañ
60-362	Poznañ
60-363	Poznañ
60-365	Poznañ
60-366	Poznañ
60-367	Poznañ
60-368	Poznañ
60-369	Poznañ
60-371	Poznañ
60-373	Poznañ
60-374	Poznañ
60-375	Poznañ
